cluster index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score
322,72,5,Organic compounds,1,Lipids and lipid-like molecules,0.933333333,Prenol lipids,0.455555556,Diterpenoids,0.344444444,Diterpenoids,0.177777778,Aliphatic homopolycyclic compounds,0.477777778
686,72,5,Organic compounds,1,Lipids and lipid-like molecules,0.933333333,Prenol lipids,0.455555556,Diterpenoids,0.344444444,Diterpenoids,0.177777778,Aliphatic homopolycyclic compounds,0.477777778
1646,72,5,Organic compounds,1,Lipids and lipid-like molecules,0.933333333,Prenol lipids,0.455555556,Diterpenoids,0.344444444,Diterpenoids,0.177777778,Aliphatic homopolycyclic compounds,0.477777778
229,S104,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
230,S105,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
232,S106,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
233,S107,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
235,S108,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
236,S109,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
237,246,3,Organic compounds,1,Lipids and lipid-like molecules,0.333333333,Carboxylic acids and derivatives,0.191666667,"Amino acids, peptides, and analogues",0.191666667,Isoleucine and derivatives,0.083333333,Aromatic heteropolycyclic compounds,0.65
238,246,3,Organic compounds,1,Lipids and lipid-like molecules,0.333333333,Carboxylic acids and derivatives,0.191666667,"Amino acids, peptides, and analogues",0.191666667,Isoleucine and derivatives,0.083333333,Aromatic heteropolycyclic compounds,0.65
1706,246,3,Organic compounds,1,Lipids and lipid-like molecules,0.333333333,Carboxylic acids and derivatives,0.191666667,"Amino acids, peptides, and analogues",0.191666667,Isoleucine and derivatives,0.083333333,Aromatic heteropolycyclic compounds,0.65
240,S110,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
242,S111,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
243,S112,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0
245,41,3,Organic compounds,1,Lipids and lipid-like molecules,0.69047619,Steroids and steroid derivatives,0.416666667,Steroidal glycosides,0.259259259,Steroidal glycosides,0.259259259,Aliphatic heteropolycyclic compounds,0.464285714
