"","OTU","Sample","Abundance","Species","Gut_Section","Species_Gut_Section","Kingdom","Phylum","Class","Order","Family"
"528","Otu00967","Kyphosus cinerascens_GI",0.000386666666666667,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"207","Otu00111","Kyphosus vaigiensis_GI",0.000385,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"358","Otu00278","Kyphosus vaigiensis_ST",0.000373333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"483","Otu00600","Kyphosus cinerascens_GI",0.000366666666666667,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"216","Otu00113","Kyphosus vaigiensis_GI",0.000363333333333333,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"157","Otu00062","Kyphosus cinerascens_ST",0.00036,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"382","Otu00343","Kyphosus vaigiensis_ST",0.000346666666666667,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Eukaryota","Parabasalia","Parabasalia_unclassified","Parabasalia_unclassified","Parabasalia_unclassified"
"99","Otu00024","Kyphosus vaigiensis_HG",0.000344444444444444,"Kyphosus vaigiensis","HG","Kyphosus vaigiensis_HG","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"536","Otu01063","Kyphosus hawaiiensis_ST",0.00033,"Kyphosus hawaiiensis","ST","Kyphosus hawaiiensis_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"253","Otu00151","Kyphosus cinerascens_GI",0.000326666666666667,"Kyphosus cinerascens","GI","Kyphosus cinerascens_GI","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"176","Otu00075","Kyphosus cinerascens_ST",0.00032,"Kyphosus cinerascens","ST","Kyphosus cinerascens_ST","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"401","Otu00385","Kyphosus vaigiensis_ST",0.00032,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae"
"621","Otu01684","Kyphosus vaigiensis_ST",0.000313333333333333,"Kyphosus vaigiensis","ST","Kyphosus vaigiensis_ST","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"96","Otu00024","Kyphosus vaigiensis_GI",0.000306666666666667,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae"
"360","Otu00278","Kyphosus vaigiensis_GI",0.000298333333333333,"Kyphosus vaigiensis","GI","Kyphosus vaigiensis_GI","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
