"","Species","Gut_SubSection","Gut_SubSection.padjust","Species.padjust","cluster.index","CF_componentindex","CF_NrNodes","CF_kingdom","CF_kingdom_score","CF_superclass","CF_superclass_score","CF_class","CF_class_score","CF_subclass","CF_subclass_score","CF_Dparent","CF_Dparent_score","CF_MFramework","CF_MFramework_score"
"530",0.234849744544368,1.5431265433478e-08,7.43665757782003e-06,0.669525584278088,530,"289",3,"Organic compounds",1,"Phenylpropanoids and polyketides",0.457671958,"Coumarins and derivatives",0.424338624,"",0.221693122,"Psoralens",0.142857143,"Aromatic heteropolycyclic compounds",0.697354497
"536",0.441858109330473,1.59035488737086e-06,6.18117932891474e-05,0.840769300162514,536,"S244",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"551",0.621025612928378,0.000461418239349576,0.00597792963424007,0.848278505265572,551,"238",2,"Organic compounds",0.5,"Organic acids and derivatives",0.277777778,"Carboxylic acids and derivatives",0.222222222,"Amino acids, peptides, and analogues",0.222222222,"Alpha amino acid amides",0.111111111,"Aromatic heteropolycyclic compounds",0.388888889
"554",0.493366991018972,0.000857006491318774,0.00987596150462213,0.840769300162514,554,"S250",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"558",0.163986314997371,0.00108615407406933,0.0111092600909197,0.569177031294843,558,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"640",0.326429373378114,0.000481521655816345,0.00610276359436802,0.794084607490337,640,"3",74,"Organic compounds",1,"Lipids and lipid-like molecules",0.826045201,"Prenol lipids",0.390973928,"Diterpenoids",0.1878003,"Diterpenoids",0.119417632,"Aliphatic homopolycyclic compounds",0.268458231
"644",0.440838246887788,0.00235425673516067,0.0196965491394145,0.840769300162514,644,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"647",0.671903574038871,2.55116898038423e-08,7.43665757782003e-06,0.864723584248701,647,"S293",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"648",0.765660159007573,1.35112690200542e-06,6.05928449130122e-05,0.878942135819804,648,"38",13,"Organic compounds",0.923076923,"Lipids and lipid-like molecules",0.625641026,"Sphingolipids",0.289102564,"Ceramides",0.238461538,"Ceramides",0.197435897,"Aliphatic acyclic compounds",0.730769231
"649",0.664863223607113,5.83871731343964e-08,8.6185870343086e-06,0.862179698795738,649,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"658",0.845460751538287,0.00320750388986458,0.0246049311551454,0.903631033268283,658,"89",6,"Organic compounds",1,"Organoheterocyclic compounds",0.339905002,"Carboxylic acids and derivatives",0.315241703,"Amino acids, peptides, and analogues",0.315241703,"Dipeptides",0.204395142,"Aromatic heteropolycyclic compounds",0.633651996
"667",0.501319573354702,0.0020610184341727,0.0186298247807739,0.840769300162514,667,"159",2,"Organic compounds",1,"Benzenoids",0.347222222,"Prenol lipids",0.243055556,"Monoterpenoids",0.243055556,"Aromatic monoterpenoids",0.243055556,"Aromatic heteromonocyclic compounds",0.541666667
"670",0.340124021544838,0.00492159902301989,0.0341582408383404,0.80280285247223,670,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
"687",0.947733234347754,5.75077194814305e-07,2.79391670480616e-05,0.962593163109304,687,"3",74,"Organic compounds",1,"Lipids and lipid-like molecules",0.826045201,"Prenol lipids",0.390973928,"Diterpenoids",0.1878003,"Diterpenoids",0.119417632,"Aliphatic homopolycyclic compounds",0.268458231
"712",0.452319971086909,0.000159239481076066,0.00250909776938774,0.840769300162514,712,"S325",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"722",0.90122408781369,0.000233630892559118,0.00340517025904914,0.933239153100144,722,"63",50,"Organic compounds",1,"Lipids and lipid-like molecules",0.470212121,"Prenol lipids",0.177018038,"",0.1856443,"Diterpenoids",0.042135642,"Aromatic heteropolycyclic compounds",0.382551948
"724",0.227162056684752,0.00105702751217133,0.0110044114213551,0.65562118340203,724,"S330",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"736",0.194191804960695,0.00461124058018691,0.0327847958323045,0.60220118240471,736,"55",3,"Organic compounds",1,"Organoheterocyclic compounds",0.396825397,"Carboxylic acids and derivatives",0.339285714,"Amino acids, peptides, and analogues",0.339285714,"N-acyl-alpha amino acids",0.125,"Aromatic heteromonocyclic compounds",0.375661376
"749",0.632534804073118,0.000105100327423509,0.00175067116822587,0.849371568000263,749,"S343",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"754",0.316884692503326,0.000180169809862379,0.00276418418815176,0.793944333810927,754,"S347",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"788",0.358898295175953,0.00246629174472943,0.0196965491394145,0.810998860804576,788,"S363",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"857",0.481129381593862,4.71411516250114e-05,0.000944352817404428,0.840769300162514,857,"S396",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"859",0.530111261123331,0.00174307610862163,0.0164768722897911,0.840769300162514,859,"S398",1,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0,"no matches",0
"877",0.935177465703153,0.00488339709737893,0.0341582408383404,0.954830932583079,877,"5",100,"Organic compounds",0.93,"Organic acids and derivatives",0.288345599,"Carboxylic acids and derivatives",0.271099206,"Amino acids, peptides, and analogues",0.269849206,"Dipeptides",0.112630952,"Aromatic heteropolycyclic compounds",0.295015152
